"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2024","110.4955","104.0100","111.0000","103.7100","","4.49%"
"12/27/2024","105.7455","100.0100","107.0000","99.7100","","5.75%"
"12/26/2024","100.0000","99.5100","100.3100","98.9600","","0.50%"
"12/25/2024","99.5000","99.8600","100.2100","99.4100","","-0.50%"
"12/24/2024","99.9955","101.0100","101.0100","99.5000","","-1.21%"
"12/23/2024","101.2205","102.7100","103.0100","99.8750","","-1.72%"
"12/20/2024","102.9955","103.5000","104.2500","102.0600","","-0.48%"
"12/19/2024","103.4955","103.2100","104.2100","101.5000","","-1.12%"
"12/18/2024","104.6705","103.5100","105.4250","102.3000","","0.07%"
"12/17/2024","104.5955","103.0100","104.7500","101.5500","","0.97%"
"12/16/2024","103.5955","102.0000","104.6250","102.0000","","-0.86%"
"12/13/2024","104.4955","104.4100","104.6000","102.0000","","-0.48%"
"12/12/2024","104.9955","105.0100","106.0100","103.0000","","-0.47%"
"12/11/2024","105.4955","102.0100","108.7500","101.5100","","2.38%"
"12/10/2024","103.0455","100.0100","103.0500","99.7100","","3.05%"
"12/09/2024","99.9955","99.0100","100.6500","98.8000","","-0.55%"
"12/06/2024","100.5455","102.0100","102.0100","98.5100","","-0.45%"
"12/05/2024","100.9955","104.5100","105.0100","97.8500","","-3.81%"
"12/04/2024","104.9955","105.5100","106.0000","103.0000","","0.00%"
"12/03/2024","104.9955","105.5600","107.6000","104.0000","","-1.41%"
"12/02/2024","106.4955","107.3100","108.6000","105.5600","","0.00%"
"11/29/2024","106.4955","108.6100","110.0000","104.5000","","-1.39%"
"11/28/2024","107.9955","110.3100","112.0000","105.7500","","-4.55%"
"11/27/2024","113.1455","105.4100","114.5000","103.3100","","7.25%"
"11/26/2024","105.4955","103.5600","107.9500","102.5000","","1.44%"
"11/25/2024","103.9955","102.2100","104.1500","102.2100","","-0.34%"
"11/22/2024","104.3455","100.5100","104.3500","100.3600","","3.01%"
"11/21/2024","101.2955","100.0000","101.4500","100.0000","","0.70%"
"11/20/2024","100.5955","99.8268","100.7500","99.7500","","0.02%"
"11/19/2024","100.5705","99.8600","101.0750","99.8100","","0.83%"
"11/18/2024","99.7455","99.6600","100.5500","99.5600","","-0.25%"
"11/15/2024","99.9955","99.5100","100.4000","99.0000","","0.50%"
"11/14/2024","99.5000","98.2600","100.7500","97.5000","","1.02%"
"11/13/2024","98.4955","97.7500","98.7000","97.7500","","0.25%"
"11/12/2024","98.2455","97.5600","98.2500","97.5600","","2.34%"
"11/11/2024","95.9955","97.3100","98.7000","95.5000","","-1.64%"
"11/08/2024","97.5955","97.9100","98.2100","96.9000","","-0.41%"
"11/07/2024","97.9955","98.3600","98.3600","96.6000","","0.80%"
"11/06/2024","97.2205","95.0000","100.5000","95.0000","","-0.59%"
"11/05/2024","97.7955","98.3600","98.7250","97.3000","","-0.56%"
"11/04/2024","98.3500","97.4100","99.0500","97.4100","","0.36%"
"11/01/2024","97.9955","97.0600","98.2500","97.0000","","0.64%"
"10/31/2024","97.3705","96.9100","97.3750","96.9100","","0.49%"
"10/30/2024","96.9000","97.1600","98.0000","96.6000","","-0.61%"
"10/29/2024","97.4955","97.1600","98.0000","95.6500","","0.36%"
"10/28/2024","97.1500","96.6600","98.0000","96.6600","","-0.10%"
"10/25/2024","97.2455","96.9500","97.3500","96.3750","","1.04%"
"10/24/2024","96.2455","96.4100","97.1500","95.5000","","0.26%"
"10/23/2024","95.9955","96.4100","96.8750","95.9500","","0.26%"
"10/22/2024","95.7455","96.3100","97.1000","95.7500","","-1.08%"
"10/21/2024","96.7955","96.3100","97.5500","95.7500","","0.10%"
"10/18/2024","96.7000","96.7500","97.2500","95.2500","","0.00%"
"10/17/2024","96.7000","96.7500","97.7000","96.7500","","0.00%"
"10/16/2024","96.7000","96.7500","97.7500","96.7500","","0.00%"
"10/15/2024","96.7000","94.5000","99.1250","94.0000","","1.16%"
"10/14/2024","95.5955","95.6100","96.4500","95.6000","","-0.21%"
"10/11/2024","95.7955","97.2100","97.2100","95.2000","","-0.83%"
"10/10/2024","96.5955","97.1600","97.6000","96.6000","","-0.41%"
"10/09/2024","96.9955","97.0000","100.3000","96.3100","","0.26%"
"10/08/2024","96.7455","96.0600","96.8000","96.0100","","0.57%"
"10/07/2024","96.1955","95.5100","96.5000","95.5100","","1.26%"
"10/04/2024","94.9955","94.5000","96.0000","94.5000","","0.26%"
"10/03/2024","94.7455","94.5100","95.3500","94.4100","","-0.94%"
"10/02/2024","95.6455","95.6650","97.1500","93.6600","","-0.21%"
"10/01/2024","95.8455","92.9100","95.8500","92.7000","","3.06%"
